Symbol,Name,High,Low,Close,Volume,URL
EOX,Euromax Resources Ltd,0.08,0.08,0.08,7500,http://eoddata.com//stockquote/TSX/EOX.htm
EPRX,Eupraxia Pharmaceuticals Inc,2.06,1.91,1.91,6265,http://eoddata.com//stockquote/TSX/EPRX.htm
EPRX.WT,Eupraxia Pharmaceuticals Inc WT,0.4,0.4,0.4,2000,http://eoddata.com//stockquote/TSX/EPRX.WT.htm
EQB,Equitable Group Inc,77.15,74.28,74.52,132118,http://eoddata.com//stockquote/TSX/EQB.htm
EQB.PR.C,Equitable Group Inc Pref Ser 3,25.5,25.27,25.27,9729,http://eoddata.com//stockquote/TSX/EQB.PR.C.htm
EQB.R,Equitable Group Inc Sub Receipts,75.0,72.5,72.5,19711,http://eoddata.com//stockquote/TSX/EQB.R.htm
EQL,Invesco S&P 500 Eql Weight Idx ETF,29.63,29.05,29.07,11827,http://eoddata.com//stockquote/TSX/EQL.htm
EQL.F,Invesco S&P 500 Eql Weight Idx ETF Hgd,27.83,27.39,27.43,9725,http://eoddata.com//stockquote/TSX/EQL.F.htm
EQL.U,Invesco S&P 500 Eql Weight Idx ETF USD,23.35,22.79,22.81,8300,http://eoddata.com//stockquote/TSX/EQL.U.htm
EQX,Equinox Gold Corp,8.6,8.19,8.48,629469,http://eoddata.com//stockquote/TSX/EQX.htm
ERD,Erdene Resource Development Corp,0.425,0.42,0.42,26835,http://eoddata.com//stockquote/TSX/ERD.htm
ERE.UN,European Residential Real Estate Invs.,4.77,4.64,4.69,252189,http://eoddata.com//stockquote/TSX/ERE.UN.htm
ERF,Enerplus Corp,15.36,14.76,14.98,1322272,http://eoddata.com//stockquote/TSX/ERF.htm
ERO,Ero Copper Corp,17.37,16.84,17.18,163535,http://eoddata.com//stockquote/TSX/ERO.htm
ESG,Invesco S&P 500 ESG Index ETF,28.91,28.29,28.29,688,http://eoddata.com//stockquote/TSX/ESG.htm
ESG.F,Invesco S&P 500 ESG Index ETF Hedged,29.52,29.5,29.52,603,http://eoddata.com//stockquote/TSX/ESG.F.htm
